ID (int),Titre (str),Auteur (str),Date (int),Format (str),Genre (List(str)),Lectorat (str),Tags (List(str)),Synopsis (str)
1771,"Nana, tome 09",Ai Yazawa,2004, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1772,"Nana, tome 10",Ai Yazawa,2004, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1773,"Nana, tome 11",Ai Yazawa,2005, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1774,"Nana, tome 12",Ai Yazawa,2005, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1775,"Nana, tome 13",Ai Yazawa,2006, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d'artichaut », un brin capricieuse et loin d'être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d'une froideur qui glace le dos. Toutes deux s'appellent « Nana », ont un attrait pour l'art et ont vécu en province. Toutes deux vont connaître l'Amour et décider de partir pour Tokyo."
1776,"L'idole dans la bombe, tome 3","Jérôme Jouvray, Anne-Claire Jouvray et Stéphane Presle",2006, Bande-dessinée,[' Aventure'], Adulte,,"Grâce à la résistance monoposienne et aux services secrets de la Confédérations des Etoiles, l'évasion de Tho Radia de Monoposie vers la Confédération a réussie. Elle est prête à commencer une nouvelle vie dans cette démocratie moderne mais elle n'est pas au bout de ses surprises : elle est un pion au beau milieu de rouages politiques malveillants..."
1777,"Nana, tome 14",Ai Yazawa,2006, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1778,"Nana, tome 15",Ai Yazawa,2006, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo."
1779,"Nana, tome 16",Ai Yazawa,2007, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"La première est rêveuse, rigolote et sensible, mais « cœur d´artichaut », un brin capricieuse et loin d´être indépendante. La seconde est plus mature, déterminée, un peu mystérieuse mais peut être d´une froideur qui glace le dos. Toutes deux s´appellent « Nana », ont un attrait pour l´art et ont vécu en province. Toutes deux vont connaître l´Amour et décider de partir pour Tokyo.Titre original : Nana, book 16 (2006)"
1780,"Nana, tome 17",Ai Yazawa,2007, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"Arrivée à Kyoto, Hachi se décide à avertir la mère de Nana Ôsaki des conséquences que pourrait avoir sur sa vie la parution de l’article du “Search”, mais on refuse de l’entendre. Les journalistes risquent de se masser devant la maison des Uehara… De son côté, Misato révèle ses origines à Yasu… Et, pendant ce temps, les membres de Trapnest célèbrent Noël à Londres !Titre original : Nana, book 17 (2007)"
1781,"Nana, tome 18",Ai Yazawa,2007, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"Tout semble enfin s’arranger pour Nana Ôsaki : finalement, le nouveau scandale soulevé par le magazine “Search” lui a permis de renouer avec Nana Komatsu, et s’est aussi réconciliée avec Ren, sans compter la tournée nationale de Blast qui approche à grands pas ! Cependant, depuis sa rupture avec Reira, Shin perd pied et finit par mettre la tournée en danger ainsi que l’avenir du groupe…Titre original : Nana, book 18 (2007)"
1782,"Nana, tome 19",Ai Yazawa,2008, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"Ce volume s’ouvre de nouveau sur une scène du présent qui suscite bien des questions. Dans l’espoir de trouver des réponses, nous sommes ramenés en 2002, le jour de la Saint-Valentin. Hachi tente de réconcilier Nana et Ren qui s’éloignent de plus en plus. Mais elle ferait mieux de s’occuper de son couple, car Reira déclare sa flamme à Takumi… et celui-ci finit par craquer !Titre original : Nana, book 19 (2008)"
1783,"Nana, tome 20",Ai Yazawa,2009, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"De nos jours, Takumi est le père de deux enfants, dont un mystérieux “Ren”. À peine nous demandons-nous ce qu’est devenu Ren Honjô, que nous retournons dans le passé : Shion retrouve Misato, Yasu prend sa relation avec Miu en main, Nana est en route vers la gloire… Mais le journaliste Kurata a retrouvé sa mère et la harcèle de nouveau. Toutefois, ce qui l’attend est pire encore !Titre original : Nana, book 20 (2008)"
1784,"Nana, tome 21",Ai Yazawa,2009, Manga,[' Shôjo'], Adulte,[' Adapté en série télévisée'],"L’anniversaire de Nana approche et Hachi se fait une joie d’aller la retrouver à Osaka où la jeune chanteuse commence activement la promotion de sa carrière solo. Hélas, alors que Takumi la rejoint, un coup de fil leur apprend une bien triste nouvelle. Comment Nana et les autres réagiront-ils à ce mauvais coup du destin ? Les paparazzis sauront-ils garder les distances nécessaires que la pudeur exige ?Titre original : Nana, book 21 (2009)"
1785,14-18 la première guerre mondiale,Annie Brown,1993, Roman,[' Historique'], Adulte,,
1786,Au temps de la Seconde Guerre Mondiale,Pierre Miquel,1993, Roman,[' Historique'], Adulte,,
1787,"Enfance, Adolescence, Jeunesse",Léon Tolstoï,1975, Roman,[' Classique'], Adulte,,"Ce classique de la littérature de l'enfance a été écrit par un très jeune homme pour qui le souvenir n'est pas lié à la nostalgie, à l'attendrissement poétique, mais qui voit dans l'écriture le seul moyen de se libérer de ses chaînes et d'aborder l'âge d'homme.D'où le ton si particulier de ce livre, sa tension, son étrange et presque aveuglante vérité, son parfum de fraises sauvages. Enfance, adolescence, jeunesse est aussi un des tableaux les plus évocateurs qu'un écrivain nous ait laissés de la Russie du XIXe siècle : la campagne et la vie urbaine, Iasnaïa Poliana et les tavernes de Moscou, les nourrices, les précepteurs, les étudiants, les princes, les bals, le jeu, les maîtres et les esclaves.Titre original : Detstvo, Otrochestvo, Yunost (1975)"
1788,On ne badine pas avec l'amour,Alfred de Musset,1834, Théâtre,[' Classique'], Adulte,,"On siffle sa première pièce ? Musset s'en moque, il publiera les autres pour son plaisir, insouciant d'aucune règle, sauf celle de ses caprices et de sa fantaisie douloureuse et si légère. Ce sera son "" spectacle dans un fauteuil "". c'est pourquoi on ne cessera jamais de jouer ses comédies et proverbes. Dans quel rêve, quel château, quel parc mélancolique sommes-nous ? Le jeune seigneur Perdican devrait y épouser sa cousine Camille, mais en un instant il décide d'aimer une jeune bergère. Soudain dédaignée, Camille, qui ne croyait pas à l'amour, connaît le dépit, la jalousie, l'égoïsme de la passion. Autour d'eux, s'agitent des personnages fantoches d'une cocasserie irrésistible. Dans ce théâtre féérique, on se croise, on se déchire, on s'ennuie, on croit que tout est vain, on triche, on se désire, on souffre jusqu'à en mourir. Comme dans la vie."
1789,Les caprices de Marianne,Alfred de Musset,1975, Théâtre,[' Classique'], Adulte,,"Octave, bohème et libertin, plaide auprès de Marianne, sa cousine par alliance, la cause de son ami, le timide et romanesque Coelio. Mais il n'obtient d'autre résultat que d'intéresser la jeune femme en sa propre faveur. Par « caprice », elle lui offre un rendez-vous. Octave alors s'efface au profit de Coelio, mais le fait ainsi tomber dans un guet-apens. Drame de l'amitié autant que drame de l'amour, les Caprices sont surtout le drame de l'identité perdue Coelio est le double d'Octave ; Octave est « une autre Marianne ». Le chassé-croisé des personnages, divaguant comme Octave toujours ivre, errant comme Coelio définitivement perdu dans ses rêves, ou trottant comme Marianne allant et venant de chez elle à l'église au rythme des heures canoniales, fait du caprice à la Goya la figure même d'un destin cruel et absurde.Titre original : Les caprices de Marianne (1975)"
1790,Les Fourberies de Scapin, Molière,1671, Théâtre,[' Classique'], Adulte,,"Branle-bas de combat dans les ruelles napolitaines ! Octave a, en secret, épousé Hyacinthe, la jeune femme qu'il aime, mais voilà que son père a décidé à son tour de le marier à une inconnue ; quant à Léandre, c'est Zerbinette qu'il aime, mais son père en a lui aussi décidé autrement. Alors, que vont bien pouvoir faire ces deux jeunes gens sans le sou contre la puissance et l'autorité de leurs barbons de pères ? Faire appel à Scapin, bien sûr, le valet bondissant et malicieux, joueur et beau parleur : rien de tel que l'un de ses nombreux tours pour retourner la situation !"
1791,Le Médecin malgré lui, Molière,1666, Théâtre,[' Classique'], Adulte,,"Parce que le public de 1666 ne comprend pas Le Misanthrope, Molière doit lui adjoindre une comédie - un chefs-d'œuvre de plus - dont la verve et la finesse nous enchantent encore. Le sujet du Médecin malgré lui vient d'un conte du lointain Moyen Âge. Une femme se venge de son ivrogne de mari en prétendant qu'il est médecin, ce qu'il n'avoue que sous les coups de bâton. Ce mauvais mari contraint de guérir une fausse muette, c'est Sganarelle. Non plus le Sganarelle ridicule des premières farces, mais un paysan rusé, un peu instruit et beau parleur, effronté comme pas un. Sa lâcheté, sa paresse, sa paillardise : on lui pardonne tout. Il est si pittoresque et si drôle ! Lire Molière, c'est rire avec le plus illustre et le plus aimé des génies français."
1792,L'Avare, Molière,1668, Théâtre,[' Classique'], Adulte,,"Harpagon n'a jamais quitté l'affiche. Il a endossé tous les costumes, pris les traits les plus divers, changé d'emploi bien souvent. On l'a vu pathétique, bouffon, tragique, méchant, shakespearien, halluciné, délirant, clownesque, parfois. Au prodigieux spectacle de ce bourg affairiste richissime, de cet usurier possédé tyrannisant une famille charmante, faut-il rire ou pleurer ? Faut-il plaindre ou haïr ce forcené qui enterre son or et ne donne jamais mais "" prête "" le bonjour ? Molière était le meilleur, le plus aimable et généreux des hommes. Son public lui réclamait des farce bouffonneries. Mais son génie comique cache mal un des auteurs les plus noirs et les plus féroces de tous les temps, l'inventeur de ces monstres d'égoïsme, névrosés d'Alceste, Don Juan, Arnolphe, et de cet Harpagon, nos semblables, nos frères."
1793,La Vénus d'Ille,Prosper Mérimée,1991, Roman,"[' Classique', ' Fantastique']", Adulte,,""" ... C'était bien une Vénus, et d'une merveilleuse beauté. Elle avait le haut du corps nu, comme les anciens représentaient d'ordinaire les grandes divinités. Rien de plus suave, de plus voluptueux que ses contours ; rien de plus élégant et de plus noble que sa draperie. Quant à la figure, jamais je ne parviendrai à exprimer son caractère étrange, et dont le type ne se rapprochait de celui d'aucune statue antique dont il me souvienne. Tous les traits étaient contractés légèrement : les yeux un peu obliques, la bouche relevée des coins, les narines quelque peu gonflées. Dédain, ironie, cruauté, se lisaient sur son visage. En vérité, plus on regardait cette admirable statue, et plus on éprouvait le sentiment pénible qu'une si merveilleuse beauté pût s'allier à l'absence de toute sensibilité. - Si le modèle a jamais existé, dis-je à M. de Peyrehorade, que je plains ses amants ! Elle a dû se complaire à les faire mourir de désespoir. Il y a dans son expression quelque chose de féroce, et pourtant je n'ai jamais vu rien de si beau ""..."
1794,Le Horla et autres récits,Guy de Maupassant,1984, Roman,[' Classique'], Adulte,,"Invisible, indéfinissable, malfaisante, la ""chose"" rôde déjà autour de lui. L'homme est pris de fièvres, d'insomnies, de cauchemars. L'eau de sa carafe disparaît, la tige d'une rose se brise sous ses yeux, les pages de son livre tournent d'elles-mêmes. Perd-il la raison ? A l'angoisse succèdent la peur et bientôt l'épouvante. Une lutte démoniaque se prépare entre l'homme et cette image maléfique de lui-même qui le dévore peu à peu et s'empare de lui. Qui est cet autre qui maintenant crie son nom, ""le Horla"" ? ""C'est lui qui me hante ! Il est en moi, il devient mon âme ; je le tuerai !"""
1795,"La maison Tellier, Une partie de campagne et autres nouvelles",Guy de Maupassant,1965, Roman,[' Classique'], Adulte,,"""Fermé pour cause de première communion"" : un tel avis, sur la porte d'une maison close, n'est pas chose courante, et les habitués de la maison Tellier, de Fécamp, n'en reviennent pas. Pendant ce temps, Madame et ses cinq pensionnaires vont retrouver à la campagne, le temps d'une fête, leurs émois et leur innocence de petites filles... A côté de ce chef-d'œuvre, huit autres nouvelles déploient ici l'éventail du génie de Maupassant. Petits employés parisiens, paysans timides, noceurs désabusés, filles rouées ou naïves : toute une humanité, où des surprenantes candeurs se mêlent à la violence des appétits et des intérêts, est dépeinte avec la couleur éclatante et le réalisme vigoureux des toiles de Renoir, de Manet ou de Toulouse-Lautrec."
1796,Comix 2000,Jean-Claude Menu,2000, Bande-dessinée,[' Contemporaine'], Adulte,,"Comix 2000 est un album de bandes dessinées muettes de 2 000 pages (la reliure est du même type que celle d'un dictionnaire du type Petit Larousse), dessiné par 324 auteurs de 29 pays différents à l'occasion du passage à l'an 2000.La coordination de l'ouvrage a été assurée par Jean-Christophe Menu, sa conception graphique est due à Étienne Robial.Ce livre a été édité par L'Association.Les auteurs participant à cet album ont été retenus, par une petite commission d'auteurs, sur le critère de la qualité des planches proposées. Ceci explique que des auteurs cèlèbres du milieu de la bande dessinée indépendante y cotoient des artistes parfois inconnus.Dans le but d'être compréhensibles par tous et dans tous les pays, les bandes dessinées sont complètement muettes et dépourvues de dialogues.Malgré un format difficile à diffuser, le Comix 2000, aujourd'hui épuisé, s'est vendu à plus de 12 000 exemplaires et constitue une « photographie » non exhaustive mais très représentative de la bande dessinée indépendante internationale. Et bien que celui-ci ait connu quelques problèmes de logistique, le Comix 2000 constitue une « date » dans l'histoire de la bande dessinée mondiale."
1797,"Le donjon de Naheulbeuk (BD) - Premier Cycle, tome 04 : Deuxième saison, partie 2",John Lang et Marion Poinsot,2007, Bande-dessinée,[' Humour'], Adulte,[' Heroic Fantasy'],"La compagnie la moins douée de la Terre de Fangh poursuit le rêve de gagner enfin les pièces d'or promises en échange d'une abominable statuette. Seulement, la voix-off l'avait prédit : "" Les dangers ne se trouvent pas toujours à l'intérieur des donjons "". La traversée des territoires sauvages n'est pas une promenade de grand-père, à plus forte raison quand le groupe comprend une elfe naturiste, un nain dont les blagues ont le poids d'une enclume et une magicienne fâchée avec les points cardinaux... Armez-vous d'un bon gourdin, de deux saucissons et d'une gourde de vinasse et suivez-les à travers la deuxième saison de Naheulbeuk."
1798,"Le donjon de Naheulbeuk (BD) - Premier Cycle, tome 05 : Deuxième saison, partie 3",John Lang et Marion Poinsot,2008, Bande-dessinée,[' Humour'], Adulte,[' Heroic Fantasy'],"La compagnie la moins douée de la Terre de Fangh poursuit le rêve de gagner enfin les pièces d'or promises en échange d'une abominable statuette. Seulement, la voix-off l'avait prédit : "" Les dangers ne se trouvent pas toujours à l'intérieur des donjons "". La traversée des territoires sauvages n'est pas une promenade de grand-père, à plus forte raison quand le groupe comprend une elfe naturiste, un nain dont les blagues ont le poids d'une enclume et une magicienne fâchée avec les points cardinaux... Armez-vous d'un bon gourdin, de deux saucissons et d'une gourde de vinasse et suivez-les à travers la deuxième saison de Naheulbeuk."
1799,"Les Arcanes de Naheulbeuk : L'Arrière-Boutique de la Terre de Fangh, tome 1 : Bière, Monstre et Bière",John Lang et Marion Poinsot,2008, Bande-dessinée,[' Fantasy'], Adulte,[' Heroic Fantasy'],"La terre de Fangh recèle bien des dangers. On y raconte aussi de nombreuses légendes, dont certaines se révèlent parfaitement stupides. D'autres encore concernent uniquement les elfes, ou les nains, et on s'en tamponne l'oreille avec une babouche. Quoi qu'il en soit, avant de partir à l'aventure, il vaut mieux savoir à l'avance ce qu'on peut trouver en travers du sentier. Savez-vous ce qu'il y a au niveau trois du donjon de Naheulbeuk ? Pouvez-vous décrire les effets d'un claptor de Mazrok ? D'où viennent les aventuriers, et qu'ont-ils accompli dans leur jeunesse ? Comment les nains creusent-ils les tunnels ? A quoi ressemblerait un barbare de niveau 10 ? Ou se trouve la rue des Talifurnes ? Est-il possible de mélanger du pâté de lapin avec un yaourt aux fraises ? Autant de questions qui trouveront leurs réponses, en images, dans les arcanes de Naheulbeuk."
1800,"Les Arcanes de Naheulbeuk : L'Arrière-Boutique de la Terre de Fangh, tome 2 : Des Boudins et des Elfes",John Lang et Marion Poinsot,2009, Bande-dessinée,[' Fantasy'], Adulte,[' Heroic Fantasy'],"La Terre de Fangh recèle bien des dangers. On y raconte aussi de nombreuses légendes, dont certaines se révèlent parfaitement stupides. D'autres encore concernent uniquement les Elfes, ou les Nains, et on s'en tamponne l'oreille avec une babouche. Quoiqu'il en soit, avant de partir à l'aventure, il vaut mieux savoir à l'avance ce qu'on peut trouver en travers du sentier. Savez-vous pourquoi il est dangereux de porter un bouclier ? Avez-vous tous les ingrédients pour réaliser une potion de charisme pour vos équipiers ? Que faisait Zangdar avant d'être un maître maléfique ? Qui sont ces mystérieux barbares Moriacs qui dominèrent la Terre de Fangh il y a bien longtemps ? Saurez-vous résister au charme de Norelenilia, reine des Elfes Lunelbar ? Savez-vous qu'au niveau 3 du donjon se trouvait une patinoire ? Et comment Goltor l'Intrépide a-t-il fini sa vie en glissant sur une saucisse ? Autant de questions cruciales qui trouveront leurs réponses, en images, dans les Arcanes de Naheulbeuk..."
1801,Les Pingouins n'ont jamais froid,Andreï Kourkov,2004, Roman,"[' Policier', ' Contemporaine']", Adulte,,"Au pays de l'absurde, il est du dernier chic qu'un pingouin assiste aux enterrements. Victor, de retour chez lui, ne saurait s'étonner de rien, surtout après un séjour en Antarctique... Acteur d'aventures tragicomiques pas aussi invraisemblables qu'elles ne le paraissent, il traverse, un peu hébété, une société complètement déboussolée qu'il observe de son nouveau job de conseiller en communication d'un futur député, sans pour autant oublier son pingouin préféré. Un jour à Kiev, le lendemain à Moscou, le jour suivant en Tchétchénie... Bon voyage, Victor !Source: Amazon.frTitre original : Zakon oulitki (2004)"
1802,Le dernier jour d'un condamné suivi de Claude Gueux et de L'affaire Tapner,Victor Hugo,1989, Roman,[' Classique'], Adulte,,"Ce bouquin regroupe les deux oeuvres les plus courtes de Victor Hugo.Elles creusent une seule et même question, brûlante dans l'actualité de l'époque : la peine de mort !"
1803,Les amours,Pierre de Ronsard,1964, Poésie,[' Classique'], Adulte,,"Tout ce que Ronsard a écrit de vers amoureux, mais aussi érotiques, au temps de sa verte jeunesse, et qu'il a publié entre 1552 et 1560 à Cassandre, à Marie, aux belles et accortes paysannes qui s'abandonnent sur un talus, le poète dit sa ferveur, dans une langue tantôt familière et leste, tantôt au moyen d'images mythologiques que l'on retrouve dans l'art de Fontainebleau. C'est le beau XVIè siècle qui s'exprime ici, celui du règne d'Henri II, roi cavalier, des châteaux du bord de Loire, des bals et des rêves. Ronsard n'a pas encore la tête religieuse et il ne sait pas qu'il va bientôt troquer sa plume pour une épée. Et si la poésie grave le tente déjà, il ne s'y abandonne que par occasion. Son coeur et son corps l'occupent tout entier.Titre original : Les amours (1964)"
1804,Émile ou de l'éducation,Jean-Jacques Rousseau,1966, Roman,[' Classique'], Adulte,,"""Savez-vous quel est le plus sûr moyen de rendre votre enfant misérable ? C'est de l'accoutumer à tout obtenir : car ses désirs croissant incessamment par la facilité de les satisfaire, tôt ou tard l'impuissance vous forcera malgré vous d'en venir au refus ; et ce refus inaccoutumé lui donnera plus de tourment que la privation de ce qu'il désire... Heureux, lui ! C'est un despote ; c'est à la fois le plus vil des esclaves et la plus misérable des créatures... Votre enfant ne doit rien obtenir parce qu'il le demande, mais parce qu'il en a besoin, ni rien faire par obéissance, mais seulement par nécessité. Ainsi les mots d'obéir et de commander seront proscrits de son dictionnaire, encore plus ceux de devoir et d'obligation ; mais ceux de force, de nécessité, d'impuissance et de contrainte y doivent tenir une grande place."""
1805,Cyrano de Bergerac,Edmond Rostand,1887, Théâtre,[' Classique'], Adolescence,,"La gloire d'Edmond Rostand est inimaginable aujourd'hui. Ses contemporains le tiennent pour le plus grand écrivain de tous les temps. Cyrano de Bergerac suscite une véritable adoration, indéfiniment renouvelée. On devrait encore savoir par cœur ces vers piaffants, cliquetants, étourdissants, à l'image de ce héros romantique et baroque, de ce d'Artagnan amoureux. Savant fou tombé de la Lune ou ferrailleur éblouissant, si tous les Français se reconnaissent en lui, s'il nous arrache des larmes, c'est parce qu'il est vrai, d'une profonde vérité humaine. C'est lui que Roxane aimait, son intelligence, son esprit, et non le beau et ennuyeux Christian. Cyrano est une part de nous-mêmes, le vengeur des humiliés et des offensés, des timides et des ratés de l'amour. À la fin de l'envoi, c'est toujours lui qui gagne."
1806,Où es-tu ?,Marc Levy,2001, Roman,"[' Contemporaine', ' Romance']", Adulte,,"Adolescents, ils se sont jurés de s'aimer pour toujours mais le destin va les séparer. Elle affrontera la violence des ouragans en Amérique centrale, tandis qu'il fera carrière à Manhattan. Philip avait promis à Susan que s'il lui arrivait quoique ce soit, il serait toujours là pour elle. Il ne pouvait savoir que cette promesse allait bouleverser sa vie."
1807,Les yeux du dragon,Stephen King,1995, Roman,"[' Fantasy', ' Conte']", Adolescence,,"L'ombre de Flagg plane depuis quatre siècles sur le royaume de Delain... Le jour où la silhouette du sinistre magicien se glisse derrière le trône du roi Roland, c'est en vue d'accomplir son noir dessein : assurer le triomphe du mal. La machination se met en marche, vénéneuse comme le poison. Mais c'est compter sans une antique maison de poupée, quelques milliers de serviettes de table, les yeux d'un vieux dragon empaillé et, bien sûr, le courage de ceux qui refusent la tyrannie. On sait que les contes de fées sont les premiers récits de terreur. En écrire un à l'intention de sa fille Naomi était donc pour Stephen King une sorte de retour aux sources.Titre original : The Eyes of the Dragon (1987)"
1808,"Je ne suis pas un ange, tome 1",Ai Yazawa,2007, Manga,[' Shôjo'], Adulte,,"C’est la rentrée des vacances d’été au lycée Hijiri.Midori Saejima, qui était malade, a profité de quelques jours de plus et, pour son retour au lycée, elle est on ne peut plus impatiente de croiser le garçon dont elle est amoureuse. Seulement voilà, pendant son absence, ses camarades de classe l’ont inscrite d’office comme candidate à l’élection du premier comité des élèves et devant leur insistance, Midori n’a eu d’autres choix que d’accepter. Sauf que ce qu’elle ne sait pas encore, c’est que son discours de présentation est pour l’après-midi même ! Et voilà Midori sur scène, quelque peu stressée, se demandant bien ce qu’elle va pouvoir raconter devant tout le lycée, surtout qu’elle, elle ne pense qu’à une chose, apercevoir son cher et tendre ! Et justement, le voici : lui aussi participe à l’élection !Titre original : Tenshi nanka ja nai, tome 1 (2007)"
1809,"Je ne suis pas un ange, tome 2",Ai Yazawa,2007, Manga,[' Shôjo'], Adulte,,"C’est la rentrée des vacances d’été au lycée Hijiri.rnMidori Saejima, qui était malade, a profité de quelques jours de plus et, pour son retour au lycée, elle est on ne peut plus impatiente de croiser le garçon dont elle est amoureuse. Seulement voilà, pendant son absence, ses camarades de classe l’ont inscrite d’office comme candidate à l’élection du premier comité des élèves et devant leur insistance, Midori n’a eu d’autres choix que d’accepter. Sauf que ce qu’elle ne sait pas encore, c’est que son discours de présentation est pour l’après-midi même ! Et voilà Midori sur scène, quelque peu stressée, se demandant bien ce qu’elle va pouvoir raconter devant tout le lycée, surtout qu’elle, elle ne pense qu’à une chose, apercevoir son cher et tendre ! Et justement, le voici : lui aussi participe à l’élection !Titre original : Tenshi nanka ja nai, tome 2 (2007)"
1810,Nouveaux Indiens,Jocelyn Bonnerave,2009, Roman,[' Contemporaine'], Adulte,,"Nouveaux Indiens est une enquête qui change d'objet en cours de route. Sur fond de campagne présidentielle, un anthropologue français venu aux Etats-Unis étudier la vie de quelques musiciens est conduit à sortir de sa réserve scientifique lorsqu'il met au jour les turpitudes d'une drôle de bande : de jeunes artistes, des intellectuels bien en place, un chirurgien, et une clocharde qui porte au cou de jolies pierres d'ambre. On croisera aussi une violoncelliste un peu magicienne, un vieux bouddhiste irrépressiblement gourmand. Le Nouveau Monde a-t-il tant changé depuis les sauvages de la Renaissance ?"
1811,"Ramsès, tome 3 : La bataille de Kadesh",Christian Jacq,1996, Roman,[' Historique'], Adulte,,"Ramsès. Son nom incarne l'éclat et la puissance de la civilisation pharaonique. Fils du soleil et du dieu vivant, il a régné pendant plus de soixante ans et porté l'Egypte à un degré de grandeur jamais atteint dans l'Histoire. Pour l'heure, l'enfant-dieu n'a que quatorze ans. Comment succédera-t-il au pharaon Séthi, son père? Quelles seront les étapes surprenantes de son initiation secrète ? Saura-t-il choisir entre Iset la Belle et la mystérieuse Néfertari ? Dans sa marche vers le trône, Ramsès ne peut compter que sur de rares amis : Améni, le scribe, Sétaou, le charmeur de serpents, et Moïse, son condisciple hébreu. Romancier magique, Christian Jacq sort l'Antiquité des manuels scolaires, et offre au lecteur un immense territoire de rêve, d'action et de poésie."
1812,"Ramsès, tome 4 : La dame d'Abou Simbel",Christian Jacq,1996, Roman,[' Historique'], Adulte,,"Ramsès. Son nom incarne l'éclat et la puissance de la civilisation pharaonique. Fils du soleil et du dieu vivant, il a régné pendant plus de soixante ans et porté l'Egypte à un degré de grandeur jamais atteint dans l'Histoire. Pour l'heure, l'enfant-dieu n'a que quatorze ans. Comment succédera-t-il au pharaon Séthi, son père? Quelles seront les étapes surprenantes de son initiation secrète ? Saura-t-il choisir entre Iset la Belle et la mystérieuse Néfertari ? Dans sa marche vers le trône, Ramsès ne peut compter que sur de rares amis : Améni, le scribe, Sétaou, le charmeur de serpents, et Moïse, son condisciple hébreu. Romancier magique, Christian Jacq sort l'Antiquité des manuels scolaires, et offre au lecteur un immense territoire de rêve, d'action et de poésie"
1813,"Ramsès, tome 5 :  Sous l'acacia d'occident",Christian Jacq,1996, Roman,[' Historique'], Adulte,,"Ramsès. Son nom incarne l'éclat et la puissance de la civilisation pharaonique. Fils du soleil et du dieu vivant, il a régné pendant plus de soixante ans et porté l'Egypte à un degré de grandeur jamais atteint dans l'Histoire. Pour l'heure, l'enfant-dieu n'a que quatorze ans. Comment succédera-t-il au pharaon Séthi, son père? Quelles seront les étapes surprenantes de son initiation secrète ? Saura-t-il choisir entre Iset la Belle et la mystérieuse Néfertari ? Dans sa marche vers le trône, Ramsès ne peut compter que sur de rares amis : Améni, le scribe, Sétaou, le charmeur de serpents, et Moïse, son condisciple hébreu. Romancier magique, Christian Jacq sort l'Antiquité des manuels scolaires, et offre au lecteur un immense territoire de rêve, d'action et de poésie."
